"Код дилера";"Сервисный код дилера";;;"Код SAP площадки";"Контрагент";;;"Модель";"Код модели";"Годпроизводства";"Рабочий объем";"Тип двигателя";"Стоимость работ";;;;;;"Стоимость запчастей";;;;;;"Стоимость запчастей PL-2";;;"Итого - ремонт";;;;;;"Итого - PL-2 ремонт";;
;;;;;;;;;;;;;"1 год 15000 км";"2 года 30000 км";"3 года 45000 км";"4 года 60000 км";"5 лет 75000 км";"6 лет 90000 км";"1 год 15000 км";"2 год 30000 км";"3 год 45000 км";"4 год 60000 км";"5 лет 75000 км";"6 лет 90000 км";"4 год 60000 км";"5 год 75000 км";"6 год 90000 км";"1 год 15000 км";"2 год 30000 км";"3 год 45000 км";"4 год 60000 км";"5 год 75000 км";"6 год 90000 км";"4 год 60000 км";"5 год 75000 км";"6 год 90000 км"
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"Tucson";"TLe";"2015-2021";"2.0";"Бензиновый";3330;4440;3330;5180;3330;4440;6682;7307;6682;12864;6682;7307;12864;6682;7307;10012;11747;10012;18044;10012;11747;18044;10012;11747
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"Tucson";"TLe";"2015-2021";"1.6T GDI";"Бензиновый";3330;4440;3330;5180;3330;4440;7007;7632;7007;9381;7007;7632;9381;7007;7632;10337;12072;10337;14561;10337;12072;14561;10337;12072
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"Tucson";"TLe";"2015-2021";"2.0";"Дизельный";3330;4440;3330;4440;3330;4440;9868;15189;9868;15189;9868;15189;15189;9868;15189;13198;19629;13198;19629;13198;19629;19629;13198;19629
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"Tucson";"TLe";"2015-2021";"2.4";"Бензиновый";3330;4440;3330;5180;3330;4440;7202;7827;7202;13676;7202;7827;13676;7202;7827;10532;12267;10532;18856;10532;12267;18856;10532;12267
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"Tucson";"NX4";"2021-";"2.0";"Бензиновый";3330;4440;3330;5180;3330;4440;9236;9861;9236;16346;9236;9861;16346;9236;9861;12566;14301;12566;21526;12566;14301;21526;12566;14301
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"Tucson";"NX4";"2021-";"2.0";"Дизельный";3330;4440;3330;4440;3330;4440;10433;18985;10433;18985;10433;18985;18985;10433;18985;13763;23425;13763;23425;13763;23425;23425;13763;23425
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"Tucson";"NX4";"2021-";"2.5 GDI";"Бензиновый";3330;4440;3330;5180;3330;4440;10278;10933;10278;17442;10278;10903;17442;10278;10903;13608;15373;13608;22622;13608;15343;22622;13608;15343
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"Santa Fe";"CM";"2006-2012";"2.4";"Бензиновый";3330;4440;3330;5180;3330;4440;6443;8816;6443;10811;6443;8816;10811;6443;8816;9773;13256;9773;15991;9773;13256;15991;9773;13256
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"Santa Fe";"CM";"2006-2012";"2.2";"Дизельный";3330;4440;3330;4440;3330;4440;8143;10787;8143;10787;8143;10787;10787;8143;10787;11473;15227;11473;15227;11473;15227;15227;11473;15227
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"Santa Fe";"DM";"2012-2018";"2.4";"Бензиновый";3330;4440;3330;5180;3330;4440;7143;9193;7143;11433;7143;9193;11433;7143;9193;10473;13633;10473;16613;10473;13633;16613;10473;13633
"RC432";1110;;;"C40AF01110";"Автохолдинг";;;"Santa Fe";"DM";"2012-2018";"2.2";"Дизельный";3330;4440;3330;4440;3330;4440;8246;10927;8246;10927;8246;10927;10927;8246;10927;11576;15367;11576;15367;11576;15367;15367;11576;15367
