"Код дилера";"Сервисный код дилера";"";"";"Код SAP площадки";"Контрагент";"";"";"Модель";"Код модели";"Годпроизводства";"Рабочий объем";"Тип двигателя";"Стоимость работ";"";"";"";"";"";"Стоимость запчастей";"";"";"";"";"";"Стоимость запчастей PL-2";"";"";"Итого - ремонт";"";"";"";"";"";"Итого - PL-2 ремонт";"";""
"";"";"";"";"";"";"";"";"";"";"";"";"";"1 год 15000 км";"2 года 30000 км";"3 года 45000 км";"4 года 60000 км";"5 лет 75000 км";"6 лет 90000 км";"1 год 15000 км";"2 год 30000 км";"3 год 45000 км";"4 год 60000 км";"5 лет 75000 км";"6 лет 90000 км";"4 год 60000 км";"5 год 75000 км";"6 год 90000 км";"1 год 15000 км";"2 год 30000 км";"3 год 45000 км";"4 год 60000 км";"5 год 75000 км";"6 год 90000 км";"4 год 60000 км";"5 год 75000 км";"6 год 90000 км"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"Santa Fe";"CM";"2006-2012";"2.2";"Дизельный";"4590";"6210";"4590";"6210";"4590";"6210";"16507,6";"22069,09";"16507,6";"22069,09";"16507,6";"22069,09";"21069,09";"15507,6";"21069,09";"21097,6";"28279,09";"21097,6";"28279,09";"21097,6";"28279,09";"27279,09";"20097,6";"27279,09"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"Santa Fe";"DM";"2012-2018";"2.4";"Бензиновый";"4590";"6210";"4590";"7290";"4590";"6210";"13547,15";"14942,52";"13547,15";"18362,86";"13547,15";"14942,52";"17362,86";"12547,15";"13942,52";"18137,15";"21152,52";"18137,15";"25652,86";"18137,15";"21152,52";"24652,86";"17137,15";"20152,52"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"Santa Fe";"DM";"2012-2018";"2.2";"Дизельный";"4590";"6210";"4590";"6210";"4590";"6210";"16507,6";"22069,09";"16507,6";"22069,09";"16507,6";"22069,09";"21069,09";"15507,6";"21069,09";"21097,6";"28279,09";"21097,6";"28279,09";"21097,6";"28279,09";"27279,09";"20097,6";"27279,09"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"Santa Fe";"TM";"2019-2020";"3.5";"Бензиновый";"4590";"6210";"4590";"7290";"4590";"6210";"19652";"21047,37";"19652";"23897,37";"19652";"21047,37";"22897,37";"18652";"20047,37";"24242";"27257,37";"24242";"31187,37";"24242";"27257,37";"30187,37";"23242";"26257,37"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"Santa Fe";"TM";"2019-2020";"2.2";"Дизельный";"4590";"6210";"4590";"6210";"4590";"6210";"20875";"27590,37";"20875";"27590,37";"20875";"27590,37";"26590,37";"19875";"26590,37";"25465";"33800,37";"25465";"33800,37";"25465";"33800,37";"32800,37";"24465";"32800,37"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"Santa Fe";"TM";"2019-2020";"2.4";"Бензиновый";"4590";"6210";"4590";"7290";"4590";"6210";"17330";"18725,37";"17330";"22488,14";"17330";"18725,37";"21488,14";"16330";"17725,37";"21920";"24935,37";"21920";"29778,14";"21920";"24935,37";"28778,14";"20920";"23935,37"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"Santa Fe";"TM";"2020-";"2.2";"Дизельный";"4590";"6210";"4590";"6210";"4590";"6210";"18516";"25717,37";"18516";"25717,37";"18516";"25717,37";"24717,37";"17516";"24717,37";"23106";"31927,37";"23106";"31927,37";"23106";"31927,37";"30927,37";"22106";"30927,37"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"Santa Fe";"TM";"2020-";"2.5";"Бензиновый";"4590";"6210";"4590";"7290";"4590";"6210";"15714";"17109,37";"15714";"20942,37";"15714";"17109,37";"19942,37";"14714";"16109,37";"20304";"23319,37";"20304";"28232,37";"20304";"23319,37";"27232,37";"19304";"22319,37"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"Santa Fe";"TM";"2020-";"3.5";"Бензиновый";"4590";"6210";"4590";"7290";"4590";"6210";"18080";"19475,37";"18080";"23308,37";"18080";"19475,37";"22308,37";"17080";"18475,37";"22670";"25685,37";"22670";"30598,37";"22670";"25685,37";"29598,37";"21670";"24685,37"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"Grand Santa Fe";"NC";"2012-2018";"3.3";"Бензиновый";"4590";"6210";"4590";"7290";"4590";"6210";"15283,01";"16678,38";"15283,01";"20098,71";"15283,01";"16678,38";"19098,71";"14283,01";"15678,38";"19873,01";"22888,38";"19873,01";"27388,71";"19873,01";"22888,38";"26388,71";"18873,01";"21888,38"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"Grand Santa Fe";"NC";"2012-2018";"3.0 GDI";"Бензиновый";"4590";"6210";"4590";"7290";"4590";"6210";"15283,01";"16678,38";"15283,01";"22521,22";"15283,01";"16678,38";"21521,22";"14283,01";"15678,38";"19873,01";"22888,38";"19873,01";"29811,22";"19873,01";"22888,38";"28811,22";"18873,01";"21888,38"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"Grand Santa Fe";"NC";"2012-2018";"2.2";"Дизельный";"4590";"6210";"4590";"6210";"4590";"6210";"16537,6";"22099,1";"16537,6";"22099,1";"16537,6";"22099,1";"21099,1";"15537,6";"21099,1";"21127,6";"28309,1";"21127,6";"28309,1";"21127,6";"28309,1";"27309,1";"20127,6";"27309,1"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"Palisade";"LX2";"2020-";"2.2";"Дизельный";"4590";"6210";"4590";"6210";"4590";"6210";"18665";"25380,37";"18665";"25380,37";"18665";"25380,37";"24380,37";"17665";"24380,37";"23255";"31590,37";"23255";"31590,37";"23255";"31590,37";"30590,37";"22255";"30590,37"
"RC442";"01172";"";"";"C40AF01172";"Аврора 21";"";"";"Palisade";"LX2";"2020-";"3.5";"Бензиновый";"4590";"6210";"4590";"7290";"4590";"6210";"17442";"18837,37";"17442";"21687,37";"17442";"18837,37";"20687,37";"16442";"17837,37";"22032";"25047,37";"22032";"28977,37";"22032";"25047,37";"27977,37";"21032";"24047,37"
